lm0.0reg4l2h256d2mlppelnstp30k0.001lr	reach max step			eval_len0-24_acc: 1.0		eval_len25-49_acc: 0.9845		eval_len50-74_acc: 0.591		eval_len75-99_acc: 0.0615		eval_len100-124_acc: 0.0		eval_len125-149_acc: 0.0		lr: 0.001
lm0.0reg4l2h256d2mlppelnstp30k0.0001lr	reach max step			eval_len0-24_acc: 1.0		eval_len25-49_acc: 0.185		eval_len50-74_acc: 0.0		eval_len75-99_acc: 0.0		eval_len100-124_acc: 0.0		eval_len125-149_acc: 0.0		lr: 0.0001
lm0.0reg4l2h256d1mlppelnstp30k0.001lr	reach max step			eval_len0-24_acc: 1.0		eval_len25-49_acc: 0.828		eval_len50-74_acc: 0.0135		eval_len75-99_acc: 0.0		eval_len100-124_acc: 0.0		eval_len125-149_acc: 0.0		lr: 0.001
lm0.0reg4l2h256d1mlppelnstp30k0.0001lr	reach max step			eval_len0-24_acc: 1.0		eval_len25-49_acc: 0.1325		eval_len50-74_acc: 0.0		eval_len75-99_acc: 0.0		eval_len100-124_acc: 0.0		eval_len125-149_acc: 0.0		lr: 0.0001
lm0.0reg4l2h256d2mlppelnstp30k0.001lr	reach max step			eval_len0-24_acc: 1.0		eval_len25-49_acc: 0.9845		eval_len50-74_acc: 0.591		eval_len75-99_acc: 0.0615		eval_len100-124_acc: 0.0		eval_len125-149_acc: 0.0		lr: 0.001
lm0.0reg4l2h256d2mlppelnstp30k0.0001lr	reach max step			eval_len0-24_acc: 1.0		eval_len25-49_acc: 0.185		eval_len50-74_acc: 0.0		eval_len75-99_acc: 0.0		eval_len100-124_acc: 0.0		eval_len125-149_acc: 0.0		lr: 0.0001
lm0.0reg4l4h64d1mlppelnstp30k0.001lr	reach max step			eval_len0-24_acc: 1.0		eval_len25-49_acc: 0.2325		eval_len50-74_acc: 0.0		eval_len75-99_acc: 0.0		eval_len100-124_acc: 0.0		eval_len125-149_acc: 0.0		lr: 0.001
lm0.0reg4l4h64d1mlppelnstp30k0.0001lr	reach max step			eval_len0-24_acc: 0.999		eval_len25-49_acc: 0.0675		eval_len50-74_acc: 0.0		eval_len75-99_acc: 0.0		eval_len100-124_acc: 0.0		eval_len125-149_acc: 0.0		lr: 0.0001
lm0.0reg4l4h64d2mlppelnstp30k0.001lr	reach max step			eval_len0-24_acc: 1.0		eval_len25-49_acc: 0.253		eval_len50-74_acc: 0.0		eval_len75-99_acc: 0.0		eval_len100-124_acc: 0.0		eval_len125-149_acc: 0.0		lr: 0.001
lm0.0reg4l4h64d2mlppelnstp30k0.0001lr	reach max step			eval_len0-24_acc: 1.0		eval_len25-49_acc: 0.1595		eval_len50-74_acc: 0.0		eval_len75-99_acc: 0.0		eval_len100-124_acc: 0.0		eval_len125-149_acc: 0.0		lr: 0.0001
lm0.0reg4l4h64d1mlppelnstp30k0.001lr	reach max step			eval_len0-24_acc: 1.0		eval_len25-49_acc: 0.2325		eval_len50-74_acc: 0.0		eval_len75-99_acc: 0.0		eval_len100-124_acc: 0.0		eval_len125-149_acc: 0.0		lr: 0.001
lm0.0reg4l4h64d1mlppelnstp30k0.0001lr	reach max step			eval_len0-24_acc: 0.999		eval_len25-49_acc: 0.0675		eval_len50-74_acc: 0.0		eval_len75-99_acc: 0.0		eval_len100-124_acc: 0.0		eval_len125-149_acc: 0.0		lr: 0.0001
lm0.0reg4l4h64d2mlppelnstp30k0.001lr	reach max step			eval_len0-24_acc: 1.0		eval_len25-49_acc: 0.253		eval_len50-74_acc: 0.0		eval_len75-99_acc: 0.0		eval_len100-124_acc: 0.0		eval_len125-149_acc: 0.0		lr: 0.001
lm0.0reg4l4h64d2mlppelnstp30k0.0001lr	reach max step			eval_len0-24_acc: 1.0		eval_len25-49_acc: 0.1595		eval_len50-74_acc: 0.0		eval_len75-99_acc: 0.0		eval_len100-124_acc: 0.0		eval_len125-149_acc: 0.0		lr: 0.0001
lm0.0reg4l4h256d1mlppelnstp30k0.001lr	reach max step			eval_len0-24_acc: 1.0		eval_len25-49_acc: 0.263		eval_len50-74_acc: 0.0		eval_len75-99_acc: 0.0		eval_len100-124_acc: 0.0		eval_len125-149_acc: 0.0		lr: 0.001
lm0.0reg4l4h256d1mlppelnstp30k0.0001lr	reach max step			eval_len0-24_acc: 1.0		eval_len25-49_acc: 0.156		eval_len50-74_acc: 0.0		eval_len75-99_acc: 0.0		eval_len100-124_acc: 0.0		eval_len125-149_acc: 0.0		lr: 0.0001
lm0.0reg4l4h256d2mlppelnstp30k0.001lr	reach max step			eval_len0-24_acc: 1.0		eval_len25-49_acc: 0.998		eval_len50-74_acc: 0.815		eval_len75-99_acc: 0.251		eval_len100-124_acc: 0.003		eval_len125-149_acc: 0.0		lr: 0.001
lm0.0reg4l4h256d2mlppelnstp30k0.0001lr	reach max step			eval_len0-24_acc: 1.0		eval_len25-49_acc: 0.1425		eval_len50-74_acc: 0.0		eval_len75-99_acc: 0.0		eval_len100-124_acc: 0.0		eval_len125-149_acc: 0.0		lr: 0.0001
lm0.0reg4l4h256d1mlppelnstp30k0.001lr	reach max step			eval_len0-24_acc: 1.0		eval_len25-49_acc: 0.263		eval_len50-74_acc: 0.0		eval_len75-99_acc: 0.0		eval_len100-124_acc: 0.0		eval_len125-149_acc: 0.0		lr: 0.001
lm0.0reg4l4h256d1mlppelnstp30k0.0001lr	reach max step			eval_len0-24_acc: 1.0		eval_len25-49_acc: 0.156		eval_len50-74_acc: 0.0		eval_len75-99_acc: 0.0		eval_len100-124_acc: 0.0		eval_len125-149_acc: 0.0		lr: 0.0001
lm0.0reg4l4h256d2mlppelnstp30k0.001lr	reach max step			eval_len0-24_acc: 1.0		eval_len25-49_acc: 0.998		eval_len50-74_acc: 0.815		eval_len75-99_acc: 0.251		eval_len100-124_acc: 0.003		eval_len125-149_acc: 0.0		lr: 0.001
