lm0.0reg4l2h256d2mlppelnstp30k0.001lr	reach max step			eval_len0-24_acc: 0.6435		eval_len25-49_acc: 0.514		eval_len50-74_acc: 0.4975		eval_len75-99_acc: 0.4955		eval_len100-124_acc: 0.482		eval_len125-149_acc: 0.491		lr: 0.001
lm0.0reg4l2h256d2mlppelnstp30k0.0001lr	reach max step			eval_len0-24_acc: 0.6615		eval_len25-49_acc: 0.498		eval_len50-74_acc: 0.4905		eval_len75-99_acc: 0.5035		eval_len100-124_acc: 0.4935		eval_len125-149_acc: 0.51		lr: 0.0001
lm0.0reg4l2h256d1mlppelnstp30k0.001lr	reach max step			eval_len0-24_acc: 0.639		eval_len25-49_acc: 0.502		eval_len50-74_acc: 0.501		eval_len75-99_acc: 0.491		eval_len100-124_acc: 0.516		eval_len125-149_acc: 0.489		lr: 0.001
lm0.0reg4l2h256d1mlppelnstp30k0.0001lr	reach max step			eval_len0-24_acc: 0.676		eval_len25-49_acc: 0.522		eval_len50-74_acc: 0.5085		eval_len75-99_acc: 0.497		eval_len100-124_acc: 0.481		eval_len125-149_acc: 0.4885		lr: 0.0001
lm0.0reg4l2h256d2mlppelnstp30k0.001lr	reach max step			eval_len0-24_acc: 0.6435		eval_len25-49_acc: 0.514		eval_len50-74_acc: 0.4975		eval_len75-99_acc: 0.4955		eval_len100-124_acc: 0.482		eval_len125-149_acc: 0.491		lr: 0.001
lm0.0reg4l2h256d2mlppelnstp30k0.0001lr	reach max step			eval_len0-24_acc: 0.6615		eval_len25-49_acc: 0.498		eval_len50-74_acc: 0.4905		eval_len75-99_acc: 0.5035		eval_len100-124_acc: 0.4935		eval_len125-149_acc: 0.51		lr: 0.0001
lm0.0reg4l4h64d1mlppelnstp30k0.001lr	reach max step			eval_len0-24_acc: 0.6865		eval_len25-49_acc: 0.513		eval_len50-74_acc: 0.507		eval_len75-99_acc: 0.4935		eval_len100-124_acc: 0.48		eval_len125-149_acc: 0.489		lr: 0.001
lm0.0reg4l4h64d1mlppelnstp30k0.0001lr	reach max step			eval_len0-24_acc: 0.675		eval_len25-49_acc: 0.516		eval_len50-74_acc: 0.509		eval_len75-99_acc: 0.497		eval_len100-124_acc: 0.481		eval_len125-149_acc: 0.4885		lr: 0.0001
lm0.0reg4l4h64d2mlppelnstp30k0.001lr	reach max step			eval_len0-24_acc: 0.684		eval_len25-49_acc: 0.5175		eval_len50-74_acc: 0.5085		eval_len75-99_acc: 0.497		eval_len100-124_acc: 0.481		eval_len125-149_acc: 0.4885		lr: 0.001
lm0.0reg4l4h64d2mlppelnstp30k0.0001lr	reach max step			eval_len0-24_acc: 0.6845		eval_len25-49_acc: 0.519		eval_len50-74_acc: 0.5105		eval_len75-99_acc: 0.4915		eval_len100-124_acc: 0.486		eval_len125-149_acc: 0.497		lr: 0.0001
