task,model,learning_rate,bucket,accuracy,arch,layers,heads,d_model,dropout,mlp_size,kernel,pe,ln,ne,train_steps_k,layer_order
addition,lm2l2h16d,0.0001,101-150,0.0,lm,2,2,16,-,-,-,-,-,-,-,-
addition,lm2l2h64d,0.001,0-50,0.1565,lm,2,2,64,-,-,-,-,-,-,-,-
addition,lm2l2h64d,0.001,51-100,0.0,lm,2,2,64,-,-,-,-,-,-,-,-
addition,lm2l2h64d,0.001,101-150,0.0,lm,2,2,64,-,-,-,-,-,-,-,-
addition,lm2l2h64d,0.0001,0-50,0.043,lm,2,2,64,-,-,-,-,-,-,-,-
addition,lm2l2h64d,0.0001,51-100,0.0,lm,2,2,64,-,-,-,-,-,-,-,-
addition,lm2l2h64d,0.0001,101-150,0.0,lm,2,2,64,-,-,-,-,-,-,-,-
addition,lm2l2h256d,0.001,0-50,0.0625,lm,2,2,256,-,-,-,-,-,-,-,-
addition,lm2l2h256d,0.001,51-100,0.0,lm,2,2,256,-,-,-,-,-,-,-,-
addition,lm2l2h256d,0.001,101-150,0.0,lm,2,2,256,-,-,-,-,-,-,-,-
addition,lm2l2h256d,0.0001,0-50,0.1425,lm,2,2,256,-,-,-,-,-,-,-,-
addition,lm2l2h256d,0.0001,51-100,0.0,lm,2,2,256,-,-,-,-,-,-,-,-
addition,lm2l2h256d,0.0001,101-150,0.0,lm,2,2,256,-,-,-,-,-,-,-,-
addition,lm2l4h16d,0.001,0-50,0.059,lm,2,4,16,-,-,-,-,-,-,-,-
addition,lm2l4h16d,0.001,51-100,0.0,lm,2,4,16,-,-,-,-,-,-,-,-
addition,lm2l4h16d,0.001,101-150,0.0,lm,2,4,16,-,-,-,-,-,-,-,-
addition,lm2l4h16d,0.0001,0-50,0.0295,lm,2,4,16,-,-,-,-,-,-,-,-
addition,lm2l4h16d,0.0001,51-100,0.0,lm,2,4,16,-,-,-,-,-,-,-,-
addition,lm2l4h16d,0.0001,101-150,0.0,lm,2,4,16,-,-,-,-,-,-,-,-
addition,lm2l4h64d,0.001,0-50,0.184,lm,2,4,64,-,-,-,-,-,-,-,-
addition,lm2l4h64d,0.001,51-100,0.0,lm,2,4,64,-,-,-,-,-,-,-,-
addition,lm2l4h64d,0.001,101-150,0.0,lm,2,4,64,-,-,-,-,-,-,-,-
addition,lm2l4h64d,0.0001,0-50,0.05,lm,2,4,64,-,-,-,-,-,-,-,-
addition,lm2l4h64d,0.0001,51-100,0.0,lm,2,4,64,-,-,-,-,-,-,-,-
addition,lm2l4h64d,0.0001,101-150,0.0,lm,2,4,64,-,-,-,-,-,-,-,-
addition,lm2l4h256d,0.001,0-50,0.236,lm,2,4,256,-,-,-,-,-,-,-,-
addition,lm2l4h256d,0.001,51-100,0.0,lm,2,4,256,-,-,-,-,-,-,-,-
addition,lm2l4h256d,0.001,101-150,0.0,lm,2,4,256,-,-,-,-,-,-,-,-
addition,lm2l4h256d,0.0001,0-50,0.166,lm,2,4,256,-,-,-,-,-,-,-,-
addition,lm2l4h256d,0.0001,51-100,0.0,lm,2,4,256,-,-,-,-,-,-,-,-
addition,lm2l4h256d,0.0001,101-150,0.0,lm,2,4,256,-,-,-,-,-,-,-,-
addition,lm4l1h16d,0.001,0-50,0.128,lm,4,1,16,-,-,-,-,-,-,-,-
addition,lm4l1h16d,0.001,51-100,0.0,lm,4,1,16,-,-,-,-,-,-,-,-
addition,lm4l1h16d,0.001,101-150,0.0,lm,4,1,16,-,-,-,-,-,-,-,-
addition,lm4l1h16d,0.0001,0-50,0.0325,lm,4,1,16,-,-,-,-,-,-,-,-
addition,lm4l1h16d,0.0001,51-100,0.0,lm,4,1,16,-,-,-,-,-,-,-,-
addition,lm4l1h16d,0.0001,101-150,0.0,lm,4,1,16,-,-,-,-,-,-,-,-
addition,lm4l1h64d,0.001,0-50,0.385,lm,4,1,64,-,-,-,-,-,-,-,-
addition,lm4l1h64d,0.001,51-100,0.0105,lm,4,1,64,-,-,-,-,-,-,-,-
addition,lm4l1h64d,0.001,101-150,0.0,lm,4,1,64,-,-,-,-,-,-,-,-
addition,lm4l1h64d,0.0001,0-50,0.115,lm,4,1,64,-,-,-,-,-,-,-,-
addition,lm4l1h64d,0.0001,51-100,0.0,lm,4,1,64,-,-,-,-,-,-,-,-
addition,lm4l1h64d,0.0001,101-150,0.0,lm,4,1,64,-,-,-,-,-,-,-,-
addition,lm4l1h256d,0.001,0-50,0.0675,lm,4,1,256,-,-,-,-,-,-,-,-
addition,lm4l1h256d,0.001,51-100,0.0,lm,4,1,256,-,-,-,-,-,-,-,-
addition,lm4l1h256d,0.001,101-150,0.0,lm,4,1,256,-,-,-,-,-,-,-,-
addition,lm4l1h256d,0.0001,0-50,0.3575,lm,4,1,256,-,-,-,-,-,-,-,-
addition,lm4l1h256d,0.0001,51-100,0.004,lm,4,1,256,-,-,-,-,-,-,-,-
addition,lm4l1h256d,0.0001,101-150,0.0,lm,4,1,256,-,-,-,-,-,-,-,-
addition,lm4l2h16d,0.001,0-50,0.148,lm,4,2,16,-,-,-,-,-,-,-,-
addition,lm4l2h16d,0.001,51-100,0.0,lm,4,2,16,-,-,-,-,-,-,-,-
addition,lm4l2h16d,0.001,101-150,0.0,lm,4,2,16,-,-,-,-,-,-,-,-
addition,lm4l2h16d,0.0001,0-50,0.03,lm,4,2,16,-,-,-,-,-,-,-,-
addition,lm4l2h16d,0.0001,51-100,0.0,lm,4,2,16,-,-,-,-,-,-,-,-
addition,lm4l2h16d,0.0001,101-150,0.0,lm,4,2,16,-,-,-,-,-,-,-,-
addition,lm4l2h64d,0.001,0-50,0.4345,lm,4,2,64,-,-,-,-,-,-,-,-
addition,lm4l2h64d,0.001,51-100,0.005,lm,4,2,64,-,-,-,-,-,-,-,-
addition,lm4l2h64d,0.001,101-150,0.0,lm,4,2,64,-,-,-,-,-,-,-,-
addition,lm4l2h64d,0.0001,0-50,0.161,lm,4,2,64,-,-,-,-,-,-,-,-
addition,lm4l2h64d,0.0001,51-100,0.0,lm,4,2,64,-,-,-,-,-,-,-,-
addition,lm4l2h64d,0.0001,101-150,0.0,lm,4,2,64,-,-,-,-,-,-,-,-
addition,lm4l2h256d,0.001,0-50,0.0475,lm,4,2,256,-,-,-,-,-,-,-,-
addition,lm4l2h256d,0.001,51-100,0.0,lm,4,2,256,-,-,-,-,-,-,-,-
addition,lm4l2h256d,0.001,101-150,0.0,lm,4,2,256,-,-,-,-,-,-,-,-
addition,lm4l2h256d,0.0001,0-50,0.378,lm,4,2,256,-,-,-,-,-,-,-,-
addition,lm4l2h256d,0.0001,51-100,0.0055,lm,4,2,256,-,-,-,-,-,-,-,-
addition,lm4l2h256d,0.0001,101-150,0.0,lm,4,2,256,-,-,-,-,-,-,-,-
